,지역명,계,공연장,미술관,과학관,문화산업단지,문화산업진흥시설,지방문화원,문화예술진흥시설,전시시설,공공도서관
0,서울,120.0,0.0,2.0,0.0,1.0,2.0,0.0,76.0,0.0,39.0
1,부산,44.0,0.0,2.0,0.0,1.0,0.0,0.0,26.0,0.0,15.0
2,대구,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0
3,인천,59.0,1.0,2.0,0.0,0.0,0.0,1.0,40.0,0.0,15.0
4,광주,22.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,4.0
5,대전,16.0,0.0,0.0,0.0,2.0,0.0,1.0,9.0,0.0,4.0
6,울산,24.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0
7,세종,28.0,0.0,1.0,4.0,0.0,0.0,3.0,16.0,0.0,4.0
8,경기,228.0,2.0,5.0,7.0,2.0,1.0,0.0,131.0,0.0,80.0
9,강원,63.0,0.0,4.0,9.0,1.0,3.0,1.0,39.0,0.0,6.0
10,충북,40.0,1.0,0.0,4.0,1.0,0.0,2.0,21.0,2.0,9.0
11,충남,47.0,0.0,0.0,5.0,0.0,0.0,1.0,28.0,0.0,13.0
12,전북,50.0,0.0,2.0,3.0,5.0,0.0,0.0,35.0,0.0,5.0
13,전남,90.0,0.0,0.0,0.0,2.0,0.0,1.0,73.0,0.0,14.0
14,경북,115.0,1.0,2.0,13.0,0.0,0.0,2.0,85.0,0.0,12.0
15,경남,84.0,0.0,3.0,4.0,1.0,0.0,2.0,57.0,0.0,17.0
16,제주,12.0,0.0,0.0,5.0,2.0,0.0,0.0,5.0,0.0,0.0
