구별,총계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율
종로구,1729,47.14893617021277,156567,147296,9271,27781,5.921426609694253,17.74384129478115
중구,2001,205.96330275229357,133708,124552,9156,24767,6.847757800580369,18.523199808538006
용산구,2383,247.88321167883214,243336,229013,14323,39575,5.886099878357498,16.26352039977644
성동구,3515,172.69200930954227,298421,291906,6515,45968,2.18315735152687,15.403741693781603
광진구,2556,435.84905660377353,356191,343392,12799,50370,3.5932968547773525,14.141289364414037
동대문구,2315,61.211699164345404,352570,338875,13695,60868,3.8843350256686615,17.264089400686387
중랑구,3285,300.12180267965897,396807,392041,4766,69841,1.2010876824249572,17.60074797067592
성북구,3754,318.50613154960985,444295,434826,9469,73158,2.1312416299980868,16.466086721660158
강북구,2462,811.8518518518518,307537,304078,3459,62893,1.1247427138848334,20.45054741380712
도봉구,1356,212.44239631336404,323752,321717,2035,62360,0.6285675455286762,19.26165707084435
노원구,2282,151.04510451045107,522225,518278,3947,85906,0.7558044904016469,16.449997606395712
은평구,3660,406.9252077562327,479607,475501,4106,85140,0.8561176129622795,17.75203447822905
서대문구,2939,137.9757085020243,318814,308482,10332,53440,3.2407610707183494,16.762124624389145
마포구,2401,229.35528120713306,378216,368518,9698,53494,2.56414324089938,14.14376969773886
양천구,3307,47.56804997768853,456019,452677,3342,66231,0.7328642008337373,14.523736949556925
강서구,2437,252.67727930535457,582804,577320,5484,89377,0.9409681470957646,15.33568746954379
구로구,4075,117.68162393162393,426675,401074,25601,70717,6.000117185211226,16.57397316458663
금천구,2365,282.0678513731826,244564,229844,14720,39781,6.0188744050637055,16.266089857869513
영등포구,3773,195.226917057903,403070,377590,25480,61197,6.3214826208847095,15.18272260401419
동작구,2262,127.79456193353474,398205,388730,9475,65396,2.3794276817217264,16.422696852123906
관악구,4909,144.96007984031937,504140,490352,13788,78400,2.7349545761098106,15.551235767842266
서초구,3730,307.2052401746725,425103,421315,3788,60209,0.8910781622336235,14.163390989948319
강남구,6645,256.68276972624795,539538,534796,4742,75602,0.8789000960080661,14.012358721721178
송파구,2743,427.50000000000006,667115,661411,5704,94145,0.8550249956903982,14.112259505482564
강동구,2547,251.3103448275862,468815,464900,3915,71203,0.8350842016573702,15.187867282403506
