,year,year,year,year,year
규모구분,모든면적,전용면적 102제곱미터초과,전용면적 60제곱미터이하,전용면적 60제곱미터초과 85제곱미터이하,전용면적 85제곱미터초과 102제곱미터이하
지역명,,,,,
강원,2827.6666666666665,4052.6666666666665,2960.4166666666665,2790.5833333333335,1937.75
경기,4358.583333333333,4843.333333333333,4421.333333333333,4340.25,4924.5
경남,3079.0,1521.0,2892.9166666666665,3076.8333333333335,4320.166666666667
경북,2892.4166666666665,2309.5,3106.5,2887.4166666666665,922.5833333333334
광주,3787.9166666666665,4411.416666666667,3892.25,3793.75,3073.3333333333335
대구,4589.416666666667,4934.0,4481.083333333333,4586.833333333333,4612.0
대전,3361.8333333333335,750.0,3311.0,3361.9166666666665,0.0
부산,4014.4166666666665,4132.75,3927.6666666666665,4027.25,4129.75
서울,8154.583333333333,9000.5,8389.333333333334,8136.916666666667,11441.416666666666
세종,1720.5,1838.75,0.0,848.75,877.5
울산,3697.8333333333335,3020.0,3831.0833333333335,3715.0833333333335,0.0
인천,4446.666666666667,4859.166666666667,4326.333333333333,4457.083333333333,4612.25
전남,2635.4166666666665,3538.0833333333335,2213.3333333333335,2624.9166666666665,2510.8333333333335
전북,2520.3333333333335,2675.8333333333335,2554.9166666666665,2519.3333333333335,2698.4166666666665
제주,4406.333333333333,900.25,4255.0,4416.25,0.0
충남,2683.6666666666665,1653.5833333333333,2516.0,2710.5833333333335,3129.75
충북,2412.0,2756.5833333333335,2419.8333333333335,2409.75,2244.75
