행정구역,2020년01월_총인구수,2020년01월_세대수,2020년01월_세대당 인구,2020년01월_남자 인구수,2020년01월_여자 인구수,2020년01월_남여 비율,lat,lng,일반가구,지상,지하(반지하),옥상(옥탑),지하 거주 비율
서울,9733509,4334918,2.25,4745088,4988421,0.95,37.5518911,126.9917937,3982290,3750423,200849,31018,5.043555341273488
부산,3411819,1499152,2.28,1674202,1737617,0.96,35.2100142,129.0688702,1405037,1400161,3148,1728,0.22405103922530153
대구,2436488,1032478,2.36,1204387,1232101,0.98,35.8294374,128.5655119,985816,983222,1224,1370,0.12416110105739814
인천,2956119,1239915,2.38,1481749,1474370,1.01,37.4562557,126.7052062,1147200,1121899,24207,1094,2.110094142259414
광주,1456688,617379,2.36,720931,735757,0.98,35.1557358,126.8354271,599217,598368,247,602,0.04122045936613948
대전,1474152,636203,2.32,736259,737893,1.0,36.3398175,127.3940486,631208,627616,1955,1637,0.30972357764793856
울산,1147037,469007,2.45,589233,557804,1.06,35.5537228,129.2380554,444087,443290,269,528,0.06057371641142389
세종,342328,136056,2.52,170729,171599,0.99,36.5606976,127.2587334,139106,138811,209,86,0.15024513680215087
경기,13250368,5480444,2.42,6665310,6585058,1.01,37.5289145,127.1727772,5098431,4997928,88936,11567,1.7443797905669411
강원,1540540,720119,2.14,774866,765674,1.01,37.724962,128.3009629,661039,658636,1182,1221,0.17880941971653713
충북,1599391,722726,2.21,810129,789262,1.03,36.7378449,127.8305242,678922,676309,1183,1430,0.17424682069516084
충남,2122455,960438,2.21,1081552,1040903,1.04,36.5296003,126.8590621,892222,889151,1095,1976,0.12272730329447157
전북,1817302,817017,2.22,903385,913917,0.99,35.7197198,127.1243977,755575,753559,354,1662,0.04685173543327929
전남,1864712,872739,2.14,935962,928750,1.01,34.94020010000001,126.9565003,761518,759309,341,1868,0.04477898093019469
경북,2662508,1228044,2.17,1340346,1322162,1.01,36.3436011,128.7401566,1131819,1127439,508,3872,0.04488350169064135
경남,3361344,1453042,2.31,1691504,1669840,1.01,35.36956300000001,128.2570135,1350155,1346308,1124,2723,0.08324970096026012
제주,670749,293362,2.29,337231,333518,1.01,33.3846216,126.5534925,263068,261358,489,1221,0.18588349780284946
