행정구역,총인구수,세대수,세대당_인구,남자_인구수,여자_인구수,남여_비율,lat,lng,일반가구,지상,지하(반지하),옥상(옥탑),지하 거주 비율,모든면적,전용면적 102제곱미터초과,전용면적 60제곱미터이하,전용면적 60제곱미터초과 85제곱미터이하,전용면적 85제곱미터초과 102제곱미터이하
서울,9733509,4334918,2.25,4745088,4988421,0.95,37.5518911,126.9917937,3982290,3750423,200849,31018,5.043555341273488,8154.583333333333,9000.5,8389.333333333334,8136.916666666667,11441.416666666666
부산,3411819,1499152,2.28,1674202,1737617,0.96,35.2100142,129.0688702,1405037,1400161,3148,1728,0.2240510392253015,4014.4166666666665,4132.75,3927.6666666666665,4027.25,4129.75
대구,2436488,1032478,2.36,1204387,1232101,0.98,35.8294374,128.5655119,985816,983222,1224,1370,0.1241611010573981,4589.416666666667,4934.0,4481.083333333333,4586.833333333333,4612.0
인천,2956119,1239915,2.38,1481749,1474370,1.01,37.4562557,126.7052062,1147200,1121899,24207,1094,2.110094142259414,4446.666666666667,4859.166666666667,4326.333333333333,4457.083333333333,4612.25
광주,1456688,617379,2.36,720931,735757,0.98,35.1557358,126.8354271,599217,598368,247,602,0.0412204593661394,3787.9166666666665,4411.416666666667,3892.25,3793.75,3073.333333333333
대전,1474152,636203,2.32,736259,737893,1.0,36.3398175,127.3940486,631208,627616,1955,1637,0.3097235776479385,3361.833333333333,750.0,3311.0,3361.9166666666665,0.0
울산,1147037,469007,2.45,589233,557804,1.06,35.5537228,129.2380554,444087,443290,269,528,0.0605737164114238,3697.8333333333335,3020.0,3831.0833333333335,3715.0833333333335,0.0
세종,342328,136056,2.52,170729,171599,0.99,36.5606976,127.2587334,139106,138811,209,86,0.1502451368021508,1720.5,1838.75,0.0,848.75,877.5
경기,13250368,5480444,2.42,6665310,6585058,1.01,37.5289145,127.1727772,5098431,4997928,88936,11567,1.7443797905669411,4358.583333333333,4843.333333333333,4421.333333333333,4340.25,4924.5
강원,1540540,720119,2.14,774866,765674,1.01,37.724962,128.3009629,661039,658636,1182,1221,0.1788094197165371,2827.6666666666665,4052.6666666666665,2960.4166666666665,2790.583333333333,1937.75
충북,1599391,722726,2.21,810129,789262,1.03,36.7378449,127.8305242,678922,676309,1183,1430,0.1742468206951608,2412.0,2756.583333333333,2419.833333333333,2409.75,2244.75
충남,2122455,960438,2.21,1081552,1040903,1.04,36.5296003,126.8590621,892222,889151,1095,1976,0.1227273032944715,2683.6666666666665,1653.5833333333333,2516.0,2710.583333333333,3129.75
전북,1817302,817017,2.22,903385,913917,0.99,35.7197198,127.1243977,755575,753559,354,1662,0.0468517354332792,2520.333333333333,2675.833333333333,2554.9166666666665,2519.333333333333,2698.4166666666665
전남,1864712,872739,2.14,935962,928750,1.01,34.94020010000001,126.9565003,761518,759309,341,1868,0.0447789809301946,2635.4166666666665,3538.083333333333,2213.333333333333,2624.9166666666665,2510.833333333333
경북,2662508,1228044,2.17,1340346,1322162,1.01,36.3436011,128.7401566,1131819,1127439,508,3872,0.0448835016906413,2892.4166666666665,2309.5,3106.5,2887.4166666666665,922.5833333333334
경남,3361344,1453042,2.31,1691504,1669840,1.01,35.36956300000001,128.2570135,1350155,1346308,1124,2723,0.0832497009602601,3079.0,1521.0,2892.9166666666665,3076.833333333333,4320.166666666667
제주,670749,293362,2.29,337231,333518,1.01,33.3846216,126.5534925,263068,261358,489,1221,0.1858834978028494,4406.333333333333,900.25,4255.0,4416.25,0.0
